rank,name,year,type,rate,release_date,box_office
1,战狼2,2017,动作,7.2,2017-07-17,567877.4
2,速度与激情8,2017,动作,7.1,2017-04-14,267095.7
3,羞羞的铁拳,2017,喜剧,7.0,2017-09-30,220174.9
4,前任3：再见前任,2017,喜剧,5.7,2017-12-29,194049.4
5,功夫瑜伽,2017,喜剧,5.1,2017-01-28,175259.5
6,西游伏妖篇,2017,奇幻,5.5,2017-01-28,165592.8
7,变形金刚5：最后的骑士,2017,科幻,5.0,2017-06-23,155124.3
8,芳华,2017,战争,7.8,2017-12-15,142241.3
9,摔跤吧！爸爸,2017,喜剧,9.1,2017-05-05,129912.0
10,寻梦环游记,2017,动画,9.1,2017-11-24,121183.1
1,美人鱼,2016,喜剧,6.7,2016-02-08,339210.9
2,疯狂动物城,2016,动画,9.2,2016-03-04,153034.7
3,魔兽,2016,动作,7.7,2016-06-08,147229.8
4,美国队长3：英雄内战,2016,动作,7.7,2016-05-06,124634.8
5,西游记之孙悟空三打白骨精,2016,奇幻,5.6,2016-02-08,120100.8
6,湄公河行动,2016,动作,8.0,2016-09-30,118458.8
7,长城,2016,奇幻,5.1,2016-12-16,117456.9
8,澳门风云3,2016,喜剧,3.9,2016-02-08,111817.7
9,盗墓笔记,2016,奇幻,4.7,2016-08-05,100453.0
10,功夫熊猫3,2016,动画,7.6,2016-01-29,100199.8
1,捉妖记,2015,奇幻,6.7,2015-07-16,244001.6
2,速度与激情7,2015,动作,8.3,2015-04-12,242658.6
3,寻龙诀,2015,动作,7.5,2015-12-18,168274.0
4,港囧,2015,喜剧,5.6,2015-09-25,161410.2
5,复仇者联盟2：奥创纪元,2015,科幻,7.1,2015-05-12,146439.3
6,夏洛特烦恼,2015,喜剧,7.4,2015-09-30,144161.0
7,侏罗纪世界,2015,动作,7.6,2015-06-10,142069.7
8,煎饼侠,2015,喜剧,6.0,2015-07-17,116275.7
9,澳门风云2,2015,喜剧,5.5,2015-02-19,97485.6
10,西游记之大圣归来,2015,动画,8.2,2015-07-10,95652.1
1,变形金刚4：绝迹重生,2014,科幻,6.5,2014-06-27,197752.2
2,心花路放,2014,喜剧,7.0,2014-09-30,116934.4
3,西游记之大闹天宫,2014,奇幻,4.1,2014-01-31,104549.6
4,智取威虎山,2014,动作,7.7,2014-12-23,88266.3
5,星际穿越,2014,科幻,9.2,2014-11-12,75532.8
6,X战警：逆转未来,2014,科幻,8.2,2014-05-23,72296.6
7,美国队长2：冬日战士,2014,动作,7.9,2014-04-04,71853.5
8,猩球崛起2：黎明之战,2014,科幻,7.5,2014-08-29,70923.2
9,爸爸去哪儿,2014,剧情,6.0,2014-01-31,69673.5
10,分手大师,2014,喜剧,5.0,2014-06-27,66544.1
1,西游降魔篇,2013,奇幻,,2013-02-10,124699.1
2,钢铁侠3,2013,科幻,,2013-05-01,75486.7
3,致我们终将逝去的青春,2013,爱情,,2013-04-26,71918.2
4,私人订制,2013,喜剧,,2013-12-19,71380.1
5,环太平洋,2013,科幻,,2013-07-31,69473.3
6,狄仁杰之神都龙王,2013,动作,,2013-09-28,60077.8
7,中国合伙人,2013,爱情,,2013-05-17,53879.9
8,警察故事2013,2013,动作,,2013-12-24,53438.8
9,北京遇上西雅图,2013,爱情,,2013-03-21,52016.9
10,小时代,2013,爱情,,2013-06-27,48478.3
1,人再囧途之泰囧,2012,喜剧,,2012-12-12,127192.9
2,泰坦尼克号3D版,2012,爱情,,2012-04-10,94620.5
3,十二生肖,2012,动作,,2012-12-20,88118.1
4,画皮II,2012,爱情,,2012-06-28,70210.5
5,碟中谍4：幽灵协议,2012,动作,,2012-01-28,67224.8
6,少年派的奇幻漂流,2012,剧情,,2012-11-22,57289.9
7,复仇者联盟,2012,科幻,,2012-05-05,56850.6
8,黑衣人3,2012,科幻,,2012-05-25,50342.6
9,冰川时代4,2012,动画,,2012-07-27,44743.3
10,地心历险记2：神秘岛,2012,科幻,,2012-02-10,38654.6
1,变形金刚3,2011,科幻,7.0,2011-07-21,107188.5
2,功夫熊猫2,2011,动画,8.0,2011-05-28,61206.6
3,金陵十三钗,2011,战争,8.0,2011-12-15,59237.0
4,龙门飞甲,2011,动作,6.7,2011-12-15,54031.3
5,哈利波特与死亡圣器(下),2011,奇幻,8.6,2011-08-04,49138.6
6,加勒比海盗4,2011,奇幻,7.5,2011-05-20,46446.8
7,建党伟业,2011,战争,,2011-06-15,41011.9
8,失恋33天,2011,爱情,7.3,2011-11-08,32064.0
9,蓝精灵,2011,动画,7.2,2011-08-10,25252.5
10,速度与激情5,2011,动作,8.4,2011-05-12,25217.1
1,阿凡达,2010,科幻,8.6,2010-01-04,133989.5
2,让子弹飞,2010,喜剧,8.7,2010-12-16,65355.3
3,唐山大地震,2010,剧情,7.4,2010-07-22,65015.7
4,非诚勿扰2,2010,爱情,6.5,2010-12-22,47159.2
5,盗梦空间,2010,科幻,9.3,2010-09-01,46236.2
6,狄仁杰之通天帝国,2010,动作,6.4,2010-09-29,28620.3
